,ID,ProbNF,ProbF,y,yhat
0,10,1.0,0.0,0,0
1,100,0.58,0.42,0,0
2,1000,1.0,0.0,0,0
3,10000,0.55,0.45,0,0
4,10001,1.0,0.0,0,0
5,10002,1.0,0.0,0,0
6,10005,0.99,0.01,0,0
7,10006,0.62,0.38,0,0
8,10008,0.42,0.58,0,1
9,10009,0.96,0.04,0,0
10,1001,0.55,0.45,0,0
11,10010,1.0,0.0,0,0
12,10011,1.0,0.0,0,0
13,10012,0.97,0.03,0,0
14,10013,0.99,0.01,0,0
15,10014,1.0,0.0,0,0
16,10015,0.97,0.03,0,0
17,10016,0.88,0.12,0,0
18,10017,0.85,0.15,0,0
19,10019,0.91,0.09,0,0
20,1002,0.87,0.13,0,0
21,10020,0.76,0.24,0,0
22,10021,1.0,0.0,0,0
23,10022,1.0,0.0,0,0
24,10023,0.08,0.92,0,1
25,10024,1.0,0.0,0,0
26,10025,0.92,0.08,0,0
27,10026,1.0,0.0,0,0
28,10027,0.97,0.03,0,0
29,10029,0.99,0.01,0,0
30,1003,0.83,0.17,0,0
31,10031,0.28,0.72,0,1
32,10032,0.53,0.47,0,0
33,10033,1.0,0.0,0,0
34,10034,0.86,0.14,0,0
35,10035,0.98,0.02,0,0
36,10036,0.61,0.39,0,0
37,10038,0.88,0.12,0,0
38,10039,0.99,0.01,0,0
39,1004,0.84,0.16,0,0
40,10040,0.94,0.06,0,0
41,10041,0.69,0.31,0,0
42,10045,0.79,0.21,0,0
43,10046,1.0,0.0,0,0
44,10047,0.99,0.01,0,0
45,10048,0.93,0.07,0,0
46,10049,0.99,0.01,0,0
47,1005,0.8,0.2,0,0
48,10050,1.0,0.0,0,0
49,10051,0.98,0.02,0,0
50,10052,0.13,0.87,0,1
51,10054,0.29,0.71,0,1
52,10055,0.96,0.04,0,0
53,10056,0.56,0.44,0,0
54,10057,1.0,0.0,0,0
55,10059,1.0,0.0,0,0
56,1006,0.97,0.03,0,0
57,10061,0.62,0.38,0,0
58,10062,1.0,0.0,0,0
59,10063,0.95,0.05,0,0
60,10064,0.99,0.01,0,0
61,10065,0.92,0.08,0,0
62,10068,0.99,0.01,0,0
63,10069,0.92,0.08,0,0
64,1007,0.96,0.04,0,0
65,10071,1.0,0.0,0,0
66,10072,0.86,0.14,0,0
67,10073,0.91,0.09,0,0
68,10074,0.45,0.55,0,1
69,10075,1.0,0.0,0,0
70,10076,1.0,0.0,0,0
71,10077,0.99,0.01,0,0
72,1008,0.98,0.02,0,0
73,10081,0.99,0.01,0,0
74,10082,0.28,0.72,0,1
75,10083,1.0,0.0,0,0
76,10084,0.52,0.48,0,0
77,10085,0.47,0.53,0,1
78,10086,0.94,0.06,0,0
79,10088,0.85,0.15,0,0
80,10089,1.0,0.0,0,0
81,10090,0.96,0.04,0,0
82,10092,0.99,0.01,0,0
83,10093,0.91,0.09,0,0
84,10094,0.99,0.01,0,0
85,10096,1.0,0.0,0,0
86,10098,1.0,0.0,0,0
87,10099,0.99,0.01,0,0
